"param_name","endpoint","dose","immune_stratum","p_T_given_I","p_E_given_I","cell","rho0_cell_probability","product_probability","diff"
"c_T","toxicity",1,0,0.3,0.95,"T=0,E=0",0.035,0.035,0
"c_T","toxicity",1,0,0.3,0.95,"T=0,E=1",0.665,0.665,0
"c_T","toxicity",1,0,0.3,0.95,"T=1,E=0",0.015,0.015,0
"c_T","toxicity",1,0,0.3,0.95,"T=1,E=1",0.285,0.285,0
"c_T","toxicity",1,1,0.3,0.95,"T=0,E=0",0.035,0.035,0
"c_T","toxicity",1,1,0.3,0.95,"T=0,E=1",0.665,0.665,0
"c_T","toxicity",1,1,0.3,0.95,"T=1,E=0",0.015,0.015,0
"c_T","toxicity",1,1,0.3,0.95,"T=1,E=1",0.285,0.285,0
"c_T","toxicity",2,0,0.35,0.95,"T=0,E=0",0.0325,0.0325,0
"c_T","toxicity",2,0,0.35,0.95,"T=0,E=1",0.6175,0.6175,0
"c_T","toxicity",2,0,0.35,0.95,"T=1,E=0",0.0175,0.0175,0
"c_T","toxicity",2,0,0.35,0.95,"T=1,E=1",0.3325,0.3325,0
"c_T","toxicity",2,1,0.35,0.95,"T=0,E=0",0.0325,0.0325,0
"c_T","toxicity",2,1,0.35,0.95,"T=0,E=1",0.6175,0.6175,0
"c_T","toxicity",2,1,0.35,0.95,"T=1,E=0",0.0175,0.0175,0
"c_T","toxicity",2,1,0.35,0.95,"T=1,E=1",0.3325,0.3325,0
"c_T","toxicity",3,0,0.4,0.95,"T=0,E=0",0.03,0.03,0
"c_T","toxicity",3,0,0.4,0.95,"T=0,E=1",0.57,0.57,0
"c_T","toxicity",3,0,0.4,0.95,"T=1,E=0",0.02,0.02,0
"c_T","toxicity",3,0,0.4,0.95,"T=1,E=1",0.38,0.38,0
"c_T","toxicity",3,1,0.4,0.95,"T=0,E=0",0.03,0.03,0
"c_T","toxicity",3,1,0.4,0.95,"T=0,E=1",0.57,0.57,0
"c_T","toxicity",3,1,0.4,0.95,"T=1,E=0",0.02,0.02,0
"c_T","toxicity",3,1,0.4,0.95,"T=1,E=1",0.38,0.38,0
"c_T","toxicity",4,0,0.45,0.95,"T=0,E=0",0.0275,0.0275,0
"c_T","toxicity",4,0,0.45,0.95,"T=0,E=1",0.5225,0.5225,0
"c_T","toxicity",4,0,0.45,0.95,"T=1,E=0",0.0225,0.0225,0
"c_T","toxicity",4,0,0.45,0.95,"T=1,E=1",0.4275,0.4275,0
"c_T","toxicity",4,1,0.45,0.95,"T=0,E=0",0.0275,0.0275,0
"c_T","toxicity",4,1,0.45,0.95,"T=0,E=1",0.5225,0.5225,0
"c_T","toxicity",4,1,0.45,0.95,"T=1,E=0",0.0225,0.0225,0
"c_T","toxicity",4,1,0.45,0.95,"T=1,E=1",0.4275,0.4275,0
"c_T","toxicity",5,0,0.5,0.95,"T=0,E=0",0.025,0.025,0
"c_T","toxicity",5,0,0.5,0.95,"T=0,E=1",0.475,0.475,0
"c_T","toxicity",5,0,0.5,0.95,"T=1,E=0",0.025,0.025,0
"c_T","toxicity",5,0,0.5,0.95,"T=1,E=1",0.475,0.475,0
"c_T","toxicity",5,1,0.5,0.95,"T=0,E=0",0.025,0.025,0
"c_T","toxicity",5,1,0.5,0.95,"T=0,E=1",0.475,0.475,0
"c_T","toxicity",5,1,0.5,0.95,"T=1,E=0",0.025,0.025,0
"c_T","toxicity",5,1,0.5,0.95,"T=1,E=1",0.475,0.475,0
"c_I","immune",1,0,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",1,0,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",1,0,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",1,0,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",1,1,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",1,1,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",1,1,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",1,1,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",2,0,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",2,0,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",2,0,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",2,0,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",2,1,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",2,1,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",2,1,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",2,1,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",3,0,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",3,0,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",3,0,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",3,0,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",3,1,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",3,1,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",3,1,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",3,1,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",4,0,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",4,0,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",4,0,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",4,0,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",4,1,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",4,1,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",4,1,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",4,1,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",5,0,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",5,0,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",5,0,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",5,0,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_I","immune",5,1,0.01,0.95,"T=0,E=0",0.0495,0.0495,0
"c_I","immune",5,1,0.01,0.95,"T=0,E=1",0.9405,0.9405,0
"c_I","immune",5,1,0.01,0.95,"T=1,E=0",5e-04,5e-04,0
"c_I","immune",5,1,0.01,0.95,"T=1,E=1",0.0095,0.0095,0
"c_E","efficacy",1,0,0.01,0.1,"T=0,E=0",0.891,0.891,0
"c_E","efficacy",1,0,0.01,0.1,"T=0,E=1",0.099,0.099,0
"c_E","efficacy",1,0,0.01,0.1,"T=1,E=0",0.009,0.009,0
"c_E","efficacy",1,0,0.01,0.1,"T=1,E=1",0.001,0.001,0
"c_E","efficacy",1,1,0.01,0.1,"T=0,E=0",0.891,0.891,0
"c_E","efficacy",1,1,0.01,0.1,"T=0,E=1",0.099,0.099,0
"c_E","efficacy",1,1,0.01,0.1,"T=1,E=0",0.009,0.009,0
"c_E","efficacy",1,1,0.01,0.1,"T=1,E=1",0.001,0.001,0
"c_E","efficacy",2,0,0.01,0.125,"T=0,E=0",0.86625,0.86625,0
"c_E","efficacy",2,0,0.01,0.125,"T=0,E=1",0.12375,0.12375,0
"c_E","efficacy",2,0,0.01,0.125,"T=1,E=0",0.00875,0.00875,0
"c_E","efficacy",2,0,0.01,0.125,"T=1,E=1",0.00125,0.00125,0
"c_E","efficacy",2,1,0.01,0.125,"T=0,E=0",0.86625,0.86625,0
"c_E","efficacy",2,1,0.01,0.125,"T=0,E=1",0.12375,0.12375,0
"c_E","efficacy",2,1,0.01,0.125,"T=1,E=0",0.00875,0.00875,0
"c_E","efficacy",2,1,0.01,0.125,"T=1,E=1",0.00125,0.00125,0
"c_E","efficacy",3,0,0.01,0.15,"T=0,E=0",0.8415,0.8415,0
"c_E","efficacy",3,0,0.01,0.15,"T=0,E=1",0.1485,0.1485,0
"c_E","efficacy",3,0,0.01,0.15,"T=1,E=0",0.0085,0.0085,0
"c_E","efficacy",3,0,0.01,0.15,"T=1,E=1",0.0015,0.0015,0
"c_E","efficacy",3,1,0.01,0.15,"T=0,E=0",0.8415,0.8415,0
"c_E","efficacy",3,1,0.01,0.15,"T=0,E=1",0.1485,0.1485,0
"c_E","efficacy",3,1,0.01,0.15,"T=1,E=0",0.0085,0.0085,0
"c_E","efficacy",3,1,0.01,0.15,"T=1,E=1",0.0015,0.0015,0
"c_E","efficacy",4,0,0.01,0.175,"T=0,E=0",0.81675,0.81675,0
"c_E","efficacy",4,0,0.01,0.175,"T=0,E=1",0.17325,0.17325,0
"c_E","efficacy",4,0,0.01,0.175,"T=1,E=0",0.00825,0.00825,0
"c_E","efficacy",4,0,0.01,0.175,"T=1,E=1",0.00175,0.00175,0
"c_E","efficacy",4,1,0.01,0.175,"T=0,E=0",0.81675,0.81675,0
"c_E","efficacy",4,1,0.01,0.175,"T=0,E=1",0.17325,0.17325,0
"c_E","efficacy",4,1,0.01,0.175,"T=1,E=0",0.00825,0.00825,0
"c_E","efficacy",4,1,0.01,0.175,"T=1,E=1",0.00175,0.00175,0
"c_E","efficacy",5,0,0.01,0.2,"T=0,E=0",0.792,0.792,0
"c_E","efficacy",5,0,0.01,0.2,"T=0,E=1",0.198,0.198,0
"c_E","efficacy",5,0,0.01,0.2,"T=1,E=0",0.008,0.008,0
"c_E","efficacy",5,0,0.01,0.2,"T=1,E=1",0.002,0.002,0
"c_E","efficacy",5,1,0.01,0.2,"T=0,E=0",0.792,0.792,0
"c_E","efficacy",5,1,0.01,0.2,"T=0,E=1",0.198,0.198,0
"c_E","efficacy",5,1,0.01,0.2,"T=1,E=0",0.008,0.008,0
"c_E","efficacy",5,1,0.01,0.2,"T=1,E=1",0.002,0.002,0
