"param_name","endpoint","dose","p_I","p_T_I0","p_T_I1","marginal_p_T_input","marginal_p_T_hand","p_E_I0","p_E_I1","marginal_p_E_input","marginal_p_E_hand","rho0","rho1","marginal_p_T_diff","marginal_p_E_diff"
"c_T","toxicity",1,0.95,0.3,0.3,0.3,0.3,0.95,0.95,0.95,0.95,0,0,0,0
"c_T","toxicity",2,0.95,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0,0,0,0
"c_T","toxicity",3,0.95,0.4,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0,0,0,0
"c_T","toxicity",4,0.95,0.45,0.45,0.45,0.45,0.95,0.95,0.95,0.95,0,0,0,0
"c_T","toxicity",5,0.95,0.5,0.5,0.5,0.5,0.95,0.95,0.95,0.95,0,0,0,0
"c_I","immune",1,0.1,0.01,0.01,0.01,0.01,0.95,0.95,0.95,0.95,0,0,0,0
"c_I","immune",2,0.1125,0.01,0.01,0.01,0.01,0.95,0.95,0.95,0.95,0,0,0,0
"c_I","immune",3,0.125,0.01,0.01,0.01,0.01,0.95,0.95,0.95,0.95,0,0,0,0
"c_I","immune",4,0.1375,0.01,0.01,0.01,0.01,0.95,0.95,0.95,0.95,0,0,0,0
"c_I","immune",5,0.15,0.01,0.01,0.01,0.01,0.95,0.95,0.95,0.95,0,0,0,0
"c_E","efficacy",1,0.95,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0,0,0,0
"c_E","efficacy",2,0.95,0.01,0.01,0.01,0.01,0.125,0.125,0.125,0.125,0,0,0,0
"c_E","efficacy",3,0.95,0.01,0.01,0.01,0.01,0.15,0.15,0.15,0.15,0,0,0,0
"c_E","efficacy",4,0.95,0.01,0.01,0.01,0.01,0.175,0.175,0.175,0.175,0,0,0,0
"c_E","efficacy",5,0.95,0.01,0.01,0.01,0.01,0.2,0.2,0.2,0.2,0,0,0,0
